Fecha,Cliente,Producto/Servicio,Centro de Costo,Comprobante,Tipo,Codigo/SKU,Descripción del Producto,Observaciones,Moneda,Vendedor,Cantidad,Precio,Descuento,Importe Mon. Transacción,Importe Mon. Ppal.
24/2/2026,BOLSA DE COMERCIO DE ROSARIO ASOCIACION CIVIL,Desarrollo a medida,A medida,A-00007-00000840,Factura,, Provisión de Servicios de Software (USD 21.855 TC a 1. 390 al 23/02/2026,,Pesos Argentinos,,1,30378450,0,30378450,30378450
18/2/2026,GAVIGLIO COMERCIAL S. A.,Cotizador de insumos-Full integrado al ERP,Fee Inicial,A-00007-00000839,Factura,,(3350 USD TC a $1425 al 18-02-2026),Cotizador de insumos- Fee inicial (50 % Cierre),Pesos Argentinos,,1,4773750,0,4773750,4773750
9/2/2026,MARTIN ALBERTO ALARCIA,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000838,Factura,,750USD (TC a 1450 al 09/02/2026),,Pesos Argentinos,,1,1087500,0,1087500,1087500
2/2/2026,RECTA AGRO S.A.,Customizing,On Demand,A-00007-00000836,Factura,,2880 USD + IVA al TC 02-02-2026 1451 DIVISA,"Las mejoras suman un total de 90 horas.
Requerimientos atendidos: 
24,* Factura 02/02",Pesos Argentinos,,1,4178880,0,4178880,4178880
2/2/2026,ARECO SEMILLAS S.A.,Portal Clientes y Proveedores I Mercado de Granos I Cotizador de Insumos,Licencia,A-00007-00000828,Factura,,2500 USD + IVA  al TC  02-02-2026 1470,,Pesos Argentinos,,1,3637000,0,3637000,3637000
2/2/2026,RECTA AGRO S.A.,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000835,Factura,,(1800USD   TC a 1470 al 02/02/2026), Factura Licencia- submódulo Cuenta Digital,Pesos Argentinos,,1,2646000,0,2646000,2646000
2/2/2026,GRUAS SAN BLAS S A,Marketing - Gestión de campañas de marketing,Licencia,A-00007-00000816,Factura,,(1800 USD TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,2646000,0,2646000,2646000
2/2/2026,DAEMAR S.A. S. E. E.,Marketing - Gestión de campañas de marketing,Licencia,A-00007-00000814,Factura,,(1761 USD TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,2588670,0,2588670,2588670
2/2/2026,FER SEM S A C A I F Y M,"Mercado de Granos -  Gestión de Contratos, fijaciones y pesificaciones de granos",Licencia,A-00007-00000824,Factura,,(1456 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,2140320,0,2140320,2140320
2/2/2026,GAVIGLIO COMERCIAL S. A.,Cotizador de Insumos - Cotizador con lista de precios,Licencia,A-00007-00000829,Factura,,(1200USD   TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,1764000,0,1764000,1764000
2/2/2026,CEREALES QUEMU S A,"Mercado de Granos -  Gestión de Contratos, fijaciones y pesificaciones de granos",Licencia,A-00007-00000831,Factura,,(1200USD   TC a 470 al 02/02/2026),,Pesos Argentinos,,1,1764000,0,1764000,1764000
2/2/2026,GROBOCOPATEL HERMANOS SOCIEDAD  ANONIMA,"Mercado de Granos -  Gestión de Contratos, fijaciones y pesificaciones de granos",Licencia,A-00007-00000830,Factura,,(1200USD  TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,1764000,0,1764000,1764000
2/2/2026,GAVIGLIO COMERCIAL S. A.,Logística - Logística de fertilizantes,Licencia,A-00007-00000829,Factura,,(500USD   TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,1764000,0,1764000,1764000
2/2/2026,MAS AGRO CENTRO S.A.S.,Marketing - Gestión de campañas de marketing,Licencia,A-00007-00000826,Factura,,(1040 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,1528800,0,1528800,1528800
2/2/2026,EDUARDO BERAZA S A,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000823,Factura,,(1040 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,1528800,0,1528800,1528800
2/2/2026,BOLSA DE COMERCIO DE ROSARIO ASOCIACION CIVIL,A medida/Autoadministración de BOT,A medida,A-00007-00000833,Factura,,900 USD al TC 02-02-2026 $1470,OC es 27464. ,Pesos Argentinos,,1,1323000,0,1323000,1323000
2/2/2026,GROBOCOPATEL HERMANOS SOCIEDAD  ANONIMA,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000830,Factura,,(800USD   TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,1176000,0,1176000,1176000
2/2/2026,TOMAS HNOS Y CIA SA,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000832,Factura,,(800USD   TC a 1470  al 02-02-2026,,Pesos Argentinos,,1,1176000,0,1176000,1176000
2/2/2026,PUERTO ARROYO SECO SA,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000820,Factura,,(800 USD TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,1176000,0,1176000,1176000
2/2/2026,GAVIGLIO COMERCIAL S. A.,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000829,Factura,,(800USD   TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,1176000,0,1176000,1176000
2/2/2026,BOLSA DE COMERCIO DE ROSARIO ASOCIACION CIVIL,Marketing - Gestión de campañas de marketing/Gestión de pedidos,Licencia,A-00007-00000834,Factura,,(700USD   TC a 1470 al 02/02/2026),"Factura licencia Agromodo. Forma de Pago: Transferencia CBU 0720408520000000132918
Fecha de Pago: 1 día hábil de cada mes. Plazo de vínculo de comercial: 10/09/2025 al 10/09/2026.Renovación automática ",Pesos Argentinos,,1,1029000,0,1029000,1029000
2/2/2026,FER SEM S A C A I F Y M,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000824,Factura,,(624 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,917280,0,917280,917280
2/2/2026,ORTEGA HERMANOS S A,Cotizador de Insumos - Cotizador con lista de precios,Licencia,A-00007-00000827,Factura,,(613 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,901110,0,901110,901110
2/2/2026,GRUPO UNUS S.A.,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000808,Factura,,(570 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,837900,0,837900,837900
2/2/2026,COOPERATIVA AGRICOLA CONESA LIMITADA,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000822,Factura,,(520 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,764400,0,764400,764400
2/2/2026,HECTOR A  BOLZAN Y CIA  S R L,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000804,Factura,,(520 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,764400,0,764400,764400
2/2/2026,FRANCISCO SELLART S A,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000817,Factura,,(520 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,764400,0,764400,764400
2/2/2026,"COOPERATIVA AGRICOLA GANADERA ""CAMILO ALDAO"" LIMITADA",Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000806,Factura,,(520 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,764400,0,764400,764400
2/2/2026,GALVEZ CEREALES S.A.,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000807,Factura,,(520 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,764400,0,764400,764400
2/2/2026,MAS AGRO CENTRO S.A.S.,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000826,Factura,,(520 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,764400,0,764400,764400
2/2/2026,COOPERATIVA AGROPECUARIA LA PAZ LTDA,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000811,Factura,,(520 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,764400,0,764400,764400
2/2/2026,AGROSUR S.A.,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000802,Factura,,(520 USD  TC a 1470 02/02/26),,Pesos Argentinos,,1,764400,0,764400,764400
2/2/2026,BARTOLO J PONS S A,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000803,Factura,,(520 USD  TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,764400,0,764400,764400
2/2/2026,KIOSHI STONE SA,Marketing - Gestión de campañas de marketing,Licencia,A-00007-00000810,Factura,,(500 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,735000,0,735000,735000
2/2/2026,CONCI S.A,Marketing - Gestión de campañas de marketing,Licencia,A-00007-00000805,Factura,,(500USD  TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,735000,0,735000,735000
2/2/2026,LA BRAGADENSE SOCIEDAD ANONIMA,Logística - Logística de fertilizantes,Licencia,A-00007-00000837,Factura,,(500USD TC a 1470al 02/02/2026),,Pesos Argentinos,,1,735000,0,735000,735000
2/2/2026,GAVIGLIO COMERCIAL S. A.,Sustentabilidad - Integración Ciampagna,Licencia,A-00007-00000829,Factura,,(200USD   TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,735000,0,735000,735000
2/2/2026,ORTEGA HERMANOS S A,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000827,Factura,,(491 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,721770,0,721770,721770
2/2/2026,EDP AGROINDUSTRIAL S.A.,Marketing - Gestión de campañas de marketing,Licencia,A-00007-00000815,Factura,,(470 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,690900,0,690900,690900
2/2/2026,GAVIGLIO COMERCIAL S. A.,"Mercado de Granos -  Gestión de Contratos, fijaciones y pesificaciones de granos",Licencia,A-00007-00000829,Factura,,(1200USD TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,588000,0,588000,588000
2/2/2026,CEREALES QUEMU S A,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000831,Factura,,(400USD   TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,588000,0,588000,588000
2/2/2026,GUAZZARONI GRECO SOCIEDAD ANONIMA,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000825,Factura,,(400 USD    TC a 1470 al 02/02/2026),Bonifica Cuenta Digital Logistica Diesel ,Pesos Argentinos,,1,588000,0,588000,588000
2/2/2026,ORTEGA HERMANOS S A,"Mercado de Granos -  Gestión de Contratos, fijaciones y pesificaciones de granos",Licencia,A-00007-00000827,Factura,,(383 USD   TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,563010,0,563010,563010
2/2/2026,NUTRALMIX S.R.L.,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000821,Factura,,(400 USD   TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,558000,0,558000,558000
2/2/2026,FLIEGL ARGENTINA S.R.L.,Marketing - Gestión de campañas de marketing,Licencia,A-00007-00000812,Factura,,(350 USD    TC a 1470 al 02/02/2026),Bonifica atención al cliente,Pesos Argentinos,,1,514500,0,514500,514500
2/2/2026,MORERO SEMILLAS Y CEREALES S A,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000819,Factura,,(345 USD TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,507150,0,507150,507150
2/2/2026,JUAN ANGEL CHAGALJ,Marketing - Gestión de campañas de marketing,Licencia,A-00007-00000813,Factura,,(300 USD    TC a 1470 al 02/02/2026),Bonifica atención al cliente,Pesos Argentinos,,1,441000,0,441000,441000
2/2/2026,INDAR CAMPOS S.R.L.,Marketing - Gestión de campañas de marketing,Licencia,A-00007-00000809,Factura,,(300 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,441000,0,441000,441000
2/2/2026,FER SEM S A C A I F Y M,Soluciones Financieras - Tajetas Mastercard,Licencia,A-00007-00000824,Factura,,(260 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,382200,0,382200,382200
2/2/2026,TIERRA GREDA S A,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000818,Factura,,(250 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,367500,0,367500,367500
2/2/2026,ORTEGA HERMANOS S A,Mercado de Granos - Calculadora de negocios,Licencia,A-00007-00000827,Factura,,(230 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,338100,0,338100,338100
