Nombre,Cuenta,Categoría
1-0-00-0000 - Activo,,
   1-1-00-0000 - Activo Corriente,,
      1-1-01-0000 - Caja y Bancos,,
         1-1-01-0001 - Caja,,
,1-1-01-0001-01 - Efectivo en Pesos,Activo Corriente > Caja y Bancos > Caja
,1-1-01-0001-02 - Valores Varios a Depositar,Activo Corriente > Caja y Bancos > Valores a Depositar
,1-1-01-0001-03 - Moneda Extranjera,Activo Corriente > Caja y Bancos > Caja
         1-1-01-0002 - Bancos,,
,1-1-01-0002-02 - Banco Galicia CC $ 376-1,Activo Corriente > Caja y Bancos > Bancos
,1-1-01-0002-03 - Banco Santander Cta Cte $ 985,Activo Corriente > Caja y Bancos > Bancos
,1-1-01-0002-04 - Santader CCESP USD 1658/0,Activo Corriente > Caja y Bancos > Bancos
,1-1-01-0002-05 - Banco Macro CCE $,Activo Corriente > Caja y Bancos > Bancos
,1-1-01-0002-06 - Banco Ciudad,Activo Corriente > Caja y Bancos > Bancos
,1-1-01-0002-07 - Banco Industrial Cta Cte,Activo Corriente > Caja y Bancos > Bancos
,1-1-01-0002-08 - Banco HSBC,Activo Corriente > Caja y Bancos > Bancos
,1-1-01-0002-09 - Banco BBVA Cta Cte $,Activo Corriente > Caja y Bancos > Bancos
,1-1-01-0002-20 - Banco BAPRO Cta Cte $,Activo Corriente > Caja y Bancos > Bancos
,1-1-01-0002-28 - Banco Galicia CC $ 696-0,Activo Corriente > Caja y Bancos > Bancos
,1-1-02-0002-22 - Banco Supervielle Cta Cte $,Activo Corriente > Caja y Bancos > Bancos
,1-1-02-0002-23 - Banco BBVA cta 12398/3,Activo Corriente > Caja y Bancos > Bancos
,1-1-02-0002-24 - Banco Macro CCE USD,Activo Corriente > Caja y Bancos > Bancos
,1-1-02-0002-25 - BBVA USD,Activo Corriente > Caja y Bancos > Bancos
,1-1-02-0002-26 - BANCO NACION,Activo Corriente > Caja y Bancos > Bancos
,1-1-02-0002-27 - BANCO PATAGONIA SOCIEDAD ANONIMA,Activo Corriente > Caja y Bancos > Bancos
,1-1-01-0002-01 - Banco Santander Rio CC $ 291,Activo Corriente > Caja y Bancos > Bancos
      1-1-02-0000 - Créditos por Ventas,,
,1-1-02-0002 - Deudores por Ventas Mercado Externo,Activo Corriente > Créditos por Ventas
,1-1-02-0003 - Deudores Varios,Activo Corriente > Créditos por Ventas
,1-1-02-0004 - Gastos a Refacturar Clientes,Activo Corriente > Créditos por Ventas
,1-1-02-0005 - Deudores Morosos,Activo Corriente > Créditos por Ventas
,1-1-02-0006 - Cheques con Rechazo,Activo Corriente > Créditos por Ventas
,1-1-02-0007 - Cobranzas no Identificiadas,Activo Corriente > Créditos por Ventas
,1-1-02-0001 - Deudores por Venta Mercado Interno,Activo Corriente > Créditos por Ventas
      1-1-03-0000 - Inversiones,,
,1-1-03-0001 - Inversiones FCI $ Santander,Activo Corriente > Inversiones
,1-1-03-0002 - Inversiones - FCI $ - Galicia,Activo Corriente > Inversiones
,1-1-03-0003 - Inversiones - FCI $ - Macro,Activo Corriente > Inversiones
,1-1-03-0004 - Inversiones - FCI $ - BBVA,Activo Corriente > Inversiones
,1-1-03-0005 - PPI pesos,Activo Corriente > Inversiones
,1-1-03-0006 - PPI USD,Activo Corriente > Inversiones
      1-1-04-0000 - Créditos Fiscales,,
,Impuestos Internos Sufrida,Activo Corriente > Otros Créditos > Créditos Fiscales
,1-1-04-0012 - IVA Saldo a Favor (ST),Activo Corriente > Otros Créditos > Créditos Fiscales
,1-1-04-0013 - ISIB Saldo a favor CABA,Activo Corriente > Otros Créditos > Créditos Fiscales
,1-1-04-0014 - ISIB Saldo a favor Santa Fe,Activo Corriente > Otros Créditos > Créditos Fiscales
,1-1-04-0015 - Anticipos IG,Activo Corriente > Otros Créditos > Créditos Fiscales
,1-1-04-0016 - Imp 25413 a Compensar,Activo Corriente > Otros Créditos > Créditos Fiscales
,1-1-04-0017 - Activo por Impuesto Diferido,Activo Corriente > Otros Créditos > Créditos Fiscales
,1-1-04-0018 - IVA Crédito fiscal computado Per. Siguiente,Activo Corriente > Otros Créditos > Créditos Fiscales
,1-1-04-0019 - IG saldo a favor,Activo Corriente > Otros Créditos > Créditos Fiscales
,1-1-04-0020 - IVA Ret y Perc computado Per. Siguiente,Activo Corriente > Otros Créditos > Créditos Fiscales
,1-1-04-0022 - Bonos Crédito Fiscal a Compensar,Activo Corriente > Otros Créditos > Créditos Fiscales
,1-1-04-0023 - Retención Ingresos Brutos Sufrida CABA,Activo Corriente > Otros Créditos
,1-1-04-0024 - IVA Saldo a Favor (SLD),Activo Corriente > Otros Créditos > Créditos Fiscales
,1-1-04-0025 - IVA Crédito Fiscal por Contribuciones de la Seguridad Social - Anexo I Ley 27.541,Activo Corriente > Otros Créditos > Créditos Impositivos > IVA Crédito Fiscal
,1-1-04-0026 - Retención Ingresos Brutos Sufrida Buenos Aires,Activo Corriente > Otros Créditos > Créditos Fiscales
,1-1-04-0027 - Retención Ingresos Brutos Sufrida Entre Rios,Activo Corriente > Otros Créditos > Créditos Fiscales
,1-1-04-0001 - IVA Crédito Fiscal,Activo Corriente > Otros Créditos > Créditos Impositivos > IVA Crédito Fiscal
,1-1-04-0002 - Retención de IVA Sufrida,Activo Corriente > Otros Créditos > Créditos Impositivos > IVA Retención Sufrida
,1-1-04-0003 - Percepción de IVA Sufrida,Activo Corriente > Otros Créditos > Créditos Impositivos > IVA Percepción Sufrida
,1-1-04-0004 - Retención Impuesto a las Ganancias Sufrida,Activo Corriente > Otros Créditos > Créditos Fiscales
,1-1-04-0005 - Percepción Impuesto a las Ganancias Sufrida,Activo Corriente > Otros Créditos > Créditos Impositivos> Percepción Ganancias Sufrida
,1-1-04-0007 - Retención y Percepciones Ingresos Brutos Sufrida Santa Fe,Activo Corriente > Otros Créditos > Créditos Fiscales
,1-1-04-0008 - Percepción Ingresos Brutos Sufrida (SIRCREB),Activo Corriente > Otros Créditos > Créditos Fiscales
,1-1-04-0009 - Retención Cargas Sociales Sufrida,Activo Corriente > Otros Créditos > Créditos Fiscales
,1-1-04-0010 - Percepciones Cargas Sociales Sufridas,Activo Corriente > Otros Créditos > Créditos Fiscales
,1-1-04-0011 - Otras Percepciones I reteciones Ingresos Brutos Sufrida,Activo Corriente > Otros Créditos > Créditos Fiscales
      1-1-05-0000 - Otras Cuentas por Cobrar,,
,1-1-05-0001 - Préstamos al personal,Activo Corriente > Otros Créditos
,1-1-05-0002 - Anticipo a Proveedores,Activo Corriente > Otros Créditos
   1-2-00-0000 - Activo No Corriente,,
      1-2-01-0000 - Bienes Intangibles,,
,1-2-01-0009 - Licencias de Software,Activo No Corriente > Activos Intangibles
,1-2-01-0010 - Horas de Desarrollo a Activables,Activo No Corriente > Activos Intangibles
